category,timestamp,n_pkts,n_bits,n_drops,n_syn_pkts,n_ack_pkts,n_psh_pkts,n_rst_pkts,n_fin_pkts,n_ece_pkts,n_urg_pkts,n_cwr_pkts,n_tcp_payload_misbehaviour_drops,n_tcp_payload_misbehaviour_timeouts,n_out_of_order_drops,n_ssl_renegotiation_requests
InboundTCPMetrics,1685405421000,8,12240,0,4,8,4,4,2,0,0,0,0,0,0,0
InboundTCPMetrics,1685405421000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405431000,4,5344,0,1,3,1,3,2,0,0,0,0,0,0,0
InboundTCPMetrics,1685405431000,4,5344,0,1,3,1,3,2,0,0,0,0,0,0,0
InboundTCPMetrics,1685405431000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405441000,1,1216,0,1,1,7,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405441000,1,1216,0,1,1,7,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405441000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405451000,2,2416,0,5,1,8,3,2,0,0,0,0,0,0,0
InboundTCPMetrics,1685405451000,2,2416,0,5,1,8,3,2,0,0,0,0,0,0,0
InboundTCPMetrics,1685405451000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405461000,4,6336,0,4,3,1,3,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405461000,4,6336,0,4,3,1,3,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405461000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405471000,4,14704,0,6,3,1,3,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405471000,4,14704,0,6,3,1,3,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405471000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405481000,8,28872,0,6,7,3,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405481000,8,28872,0,6,7,3,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405481000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405491000,2,3672,0,0,2,1,0,2,0,0,0,0,0,0,0
InboundTCPMetrics,1685405491000,2,3672,0,0,2,1,0,2,0,0,0,0,0,0,0
InboundTCPMetrics,1685405491000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405501000,1,848,0,0,1,5,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405501000,1,848,0,0,1,5,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405501000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405511000,3,12104,0,1,3,1,0,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405511000,3,12104,0,1,3,1,0,1,0,0,0,0,0,0,0
